id,year,month,precip,temp,vpd,acres,lcf11,lcf13,lcf12,lcf7,lcf1,lcf2,lcf6,lcf14,lcf9,new_id,inundation
44022,2015,7,124.572998046875,26.20000076293945,2.8399999141693115,5.624969999999999,0.721,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2015,8,29.24099922180176,26.266000747680664,3.6010000705718994,5.624969999999999,0.721,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2015,9,45.14500045776367,24.07200050354004,3.0659999847412114,5.624969999999999,0.721,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2015,10,127.4469985961914,17.013999938964847,1.1759999990463257,5.624969999999999,0.721,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2015,11,9.843999862670898,9.63700008392334,1.1540000438690186,5.624969999999999,0.721,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2015,12,33.22999954223633,6.708000183105469,1.5880000591278076,5.624969999999999,0.721,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2016,1,3.2300000190734863,4.874000072479248,1.128000020980835,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2016,2,5.190000057220459,8.112000465393066,2.0429999828338623,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2016,3,0.0,12.43000030517578,2.446000099182129,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2016,4,22.85700035095215,15.085000991821287,1.9869999885559082,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2016,5,33.314998626708984,18.53700065612793,2.4300000667572017,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2016,6,12.83199977874756,25.10500144958496,3.438999891281128,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2016,7,7.144999980926514,28.74300193786621,7.363999843597412,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2016,8,209.4369964599609,24.494001388549805,2.5699999332427983,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5421293272371001
44022,2016,9,88.00900268554688,21.566001892089844,1.1369999647140503,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9480078380143696
44022,2016,10,10.017000198364258,18.703001022338867,1.825999975204468,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6513389941214893
44022,2016,11,28.02799987792969,11.659000396728516,1.5420000553131104,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2016,12,13.77400016784668,5.88700008392334,1.343999981880188,5.624969999999999,0.7232,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,1,32.66899871826172,6.657000541687013,1.687000036239624,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,2,7.263000011444093,10.383000373840332,2.562999963760376,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,3,2.507999897003174,14.257000923156738,1.5740000009536743,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,4,34.125999450683594,16.374000549316403,2.3239998817443848,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,5,13.430999755859375,19.368000030517575,4.105999946594238,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,6,66.47899627685547,25.500001907348643,3.0209999084472656,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,7,43.45100021362305,26.47300148010254,4.236000061035156,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,8,148.57699584960938,24.059001922607425,1.3070000410079956,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2007838014369693
44022,2017,9,87.0469970703125,22.100000381469727,3.61299991607666,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,10,17.221000671386722,16.222000122070312,1.8140000104904173,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,11,6.283999919891357,12.46500015258789,2.0850000381469727,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2017,12,1.7100000381469729,6.723000526428223,2.125999927520752,5.624969999999999,0.7334,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2018,1,0.9499999880790708,4.455000400543213,2.1989998817443848,5.624969999999999,0.7354,0.0,0.2646,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2018,2,4.442999839782715,7.755000591278076,1.9390000104904173,5.624969999999999,0.7354,0.0,0.2646,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2018,3,3.265000104904175,12.47900104522705,3.181999921798706,5.624969999999999,0.7354,0.0,0.2646,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
44022,2018,4,0.8190000057220459,14.99100112915039,3.1840000152587886,5.624969999999999,0.7354,0.0,0.2646,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
